sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
18909343,BURKINA FASO,-1,,1.0,APPROVED,4075209,Burkina Faso,SNOMED,Observation,S,0,1,Location,223554004,19700101,20991231,
18917197,SWAZILAND,-1,,1.0,APPROVED,4075208,Swaziland,SNOMED,Observation,S,0,1,Location,223550008,19700101,20991231,
18916478,ISLE OF MAN,-1,,1.0,APPROVED,4073905,Isle of Man,SNOMED,Observation,S,0,1,Location,223912006,19700101,20991231,
20141360,AUSTRALIAN ANTARCTIC TERRITORY,-1,,0.663097083568573,APPROVED,4072104,Antarctica,SNOMED,Observation,S,0,1,Location,223499005,19700101,20991231,
18909345,BURMA (MYANMAR),-1,,0.5487222075462341,APPROVED,4329580,Burma,SNOMED,Observation,S,0,1,Location,223587000,19700101,20991231,
18917201,TAJIKISTAN,-1,,1.0,APPROVED,4329576,Tajikistan,SNOMED,Observation,S,0,1,Location,223577004,19700101,20991231,
18916483,JAMAICA,-1,,1.0,APPROVED,4072762,Jamaica,SNOMED,Observation,S,0,1,Location,223706009,19700101,20991231,
18909350,BURUNDI,-1,,1.0,APPROVED,4072107,Burundi,SNOMED,Observation,S,0,1,Location,223520000,19700101,20991231,
18917203,TANZANIA,-1,,1.0,APPROVED,4072112,Tanzania,SNOMED,Observation,S,0,1,Location,223537007,19700101,20991231,
18916487,KAZAKHSTAN,-1,,1.0,APPROVED,4329574,Kazakhstan,SNOMED,Observation,S,0,1,Location,223573000,19700101,20991231,
20141368,BRITISH ANTARCTIC TERRITORY,-1,,0.5198054909706116,APPROVED,4072104,Antarctica,SNOMED,Observation,S,0,1,Location,223499005,19700101,20991231,
18917205,TOGO,-1,,1.0,APPROVED,4320302,Togo,SNOMED,Observation,S,0,1,Location,223570002,19700101,20991231,
18909352,CAMEROON,-1,,1.0,APPROVED,4075199,Cameroon,SNOMED,Observation,S,0,1,Location,223521001,19700101,20991231,
18916488,KIRIBATI,-1,,1.0,APPROVED,4320160,Kiribati,SNOMED,Observation,S,0,1,Location,223623008,19700101,20991231,
18909353,BERMUDA,-1,,1.0,APPROVED,4329858,Bermuda,SNOMED,Observation,S,0,3,Location,223360003,19700101,20991231,
18917208,TOKELAU,-1,,0.299404501914978,UNCHECKED,4148509,Stroke unit,SNOMED,Observation,S,0,1,Location,309966001,19700101,20991231,
18916491,KYRGYZSTAN,-1,,1.0,APPROVED,4320303,Kyrgyzstan,SNOMED,Observation,S,0,1,Location,223574006,19700101,20991231,
20141373,CHILEAN ANTARCTIC TERRITORY,-1,,0.5289028882980347,APPROVED,4072104,Antarctica,SNOMED,Observation,S,0,1,Location,223499005,19700101,20991231,
18909356,ALBANIA,-1,,1.0,APPROVED,4320165,Albania,SNOMED,Observation,S,0,1,Location,223644008,19700101,20991231,
18916496,LESOTHO,-1,,1.0,APPROVED,4075207,Lesotho,SNOMED,Observation,S,0,1,Location,223548000,19700101,20991231,
18917211,TRINIDAD AND TOBAGO,-1,,1.0,APPROVED,4075644,Trinidad and Tobago,SNOMED,Observation,S,0,1,Location,223711006,19700101,20991231,
18909359,ANDORRA,-1,,1.0,APPROVED,4320322,Andorra,SNOMED,Observation,S,0,1,Location,223659002,19700101,20991231,
18916507,LIBYA,-1,,1.0,APPROVED,4072106,Libya,SNOMED,Observation,S,0,1,Location,223512002,19700101,20991231,
20141379,QUEEN MAUD LAND (NORWAY),-1,,0.4956742227077484,APPROVED,4328758,Norway,SNOMED,Observation,S,0,1,Location,223673006,19700101,20991231,
18909363,ARUBA,-1,,1.0,APPROVED,4073033,Aruba,SNOMED,Observation,S,0,2,Location,223358000,19700101,20991231,
18917218,TUNISIA,-1,,1.0,APPROVED,4075197,Tunisia,SNOMED,Observation,S,0,1,Location,223514001,19700101,20991231,
18916513,LIECHTENSTEIN,-1,,1.0,APPROVED,4330425,Liechtenstein,SNOMED,Observation,S,0,1,Location,223639001,19700101,20991231,
18916443,GUAM,-1,,1.0,APPROVED,4073025,Guam,SNOMED,Observation,S,0,1,Location,224009003,19700101,20991231,
20141701,ROSS DEPENDENCY (NEW ZEALAND),-1,,0.6402423977851868,APPROVED,4329593,New Zealand,SNOMED,Observation,S,0,1,Location,223625001,19700101,20991231,
18917221,TURKMENISTAN,-1,,1.0,APPROVED,4320150,Turkmenistan,SNOMED,Observation,S,0,1,Location,223578009,19700101,20991231,
18916516,MACAU,-1,,0.23535795509815216,UNCHECKED,4208477,Former Yugoslav Republic of Macedonia,SNOMED,Observation,S,0,1,Location,439341006,20090131,20991231,
18916449,GUATEMALA,-1,,1.0,APPROVED,4072757,Guatemala,SNOMED,Observation,S,0,1,Location,223693003,19700101,20991231,
20148834,SOUTH AMERICA - nec,-1,,0.7587518095970154,APPROVED,4073734,South America,SNOMED,Observation,S,0,1,Location,223504005,19700101,20991231,
18916520,MADAGASCAR,-1,,1.0,APPROVED,4071839,Madagascar,SNOMED,Observation,S,0,1,Location,223535004,19700101,20991231,
18916451,GUINEA,-1,,0.6002928614616394,UNCHECKED,4071846,Equatorial Guinea,SNOMED,Observation,S,0,1,Location,223556002,19700101,20991231,
18917224,TURKS AND CAICOS ISLANDS,-1,,0.7792606353759766,APPROVED,4074631,Turks island,SNOMED,Observation,S,0,2,Location,223996008,19700101,20991231,
20552078,931,-1,,0.0,UNCHECKED,0,Unmapped,,,,0,0,,,,,
18916521,MALAWI,-1,,1.0,APPROVED,4072113,Malawi,SNOMED,Observation,S,0,1,Location,223540007,19700101,20991231,
18916456,GUINEA-BISSAU,-1,,1.0,APPROVED,4075212,Guinea-Bissau,SNOMED,Observation,S,0,1,Location,223560004,19700101,20991231,
